Sex,Location,Year,Mortality,2015,2016,2017,2018,2019,Mean_Mortality,STD,Z-Score(95%),Conf_interval,Lower_bound_Mean_mortality,Upper_bound_Mean_mortality,Excess_mortality_Mean,Excess_mortality_fluc,P_Score,P_score_fluctuation,Mean Mortality ±,Excess Mortality ±,P_score ±,Population,Excess_mortality_per_10^5,Excess_mortality_per_10^5_fluc,Excess_mortality_per_10^5_±
Total,Italy,2020,632791.0,530524.0,505912.0,515251.0,505899.0,507862.0,523663.9999999999,9372.1,1.96,8215.0,515448.9999999999,531878.9999999999,109127.0,8215.0,20.8,1.8,523664.0 (±8215.0),109127.0 (±8215.0),20.8% (±1.8%),59641488,183.0,13.7,183.0(±13.7)
Total,Latvia,2020,24093.0,23484.0,22944.0,23002.0,23295.0,22074.0,23424.600000000002,484.5,1.96,424.7,22999.9,23849.300000000003,668.4,424.7,2.9,1.9,23424.6 (±424.7),668.4 (±424.7),2.9% (±1.9%),1907675,35.0,22.3,35.0(±22.3)
Total,Liechtenstein,2020,273.0,207.0,216.0,203.0,225.0,216.0,217.39999999999998,7.7,1.96,6.7,210.7,224.09999999999997,55.6,6.7,25.6,3.8,217.4 (±6.7),55.6 (±6.7),25.6% (±3.8%),38747,143.5,17.3,143.5(±17.3)
Total,Lithuania,2020,36797.0,34588.0,32948.0,31639.0,31353.0,30409.0,32907.4,1449.2,1.96,1270.3,31637.100000000002,34177.700000000004,3889.6,1270.3,11.8,4.1,32907.4 (±1270.3),3889.6 (±1270.3),11.8% (±4.1%),2794090,139.2,45.5,139.2(±45.5)
Total,Luxembourg,2020,3973.0,3211.0,3235.0,3399.0,3401.0,3446.0,3404.8,96.0,1.96,84.1,3320.7000000000003,3488.9,568.2,84.1,16.7,2.8,3404.8 (±84.1),568.2 (±84.1),16.7% (±2.8%),626108,90.8,13.4,90.8(±13.4)
Total,Malta,2020,3332.0,2727.0,2652.0,2724.0,2864.0,2815.0,2826.0,74.6,1.96,65.4,2760.6,2891.4,506.0,65.4,17.9,2.7,2826.0 (±65.4),506.0 (±65.4),17.9% (±2.7%),514564,98.3,12.7,98.3(±12.7)
Total,Netherlands,2020,142890.0,119936.0,120124.0,118562.0,121388.0,123017.0,122939.79999999999,1502.2,1.96,1316.7,121623.09999999999,124256.49999999999,19950.2,1316.7,16.2,1.2,122939.8 (±1316.7),19950.2 (±1316.7),16.2% (±1.2%),17407585,114.6,7.6,114.6(±7.6)
Total,Norway,2020,33521.0,33242.0,32631.0,32443.0,32568.0,32860.0,33429.59999999999,281.3,1.96,246.6,33182.99999999999,33676.19999999999,91.4,246.6,0.3,0.8,33429.6 (±246.6),91.4 (±246.6),0.3% (±0.8%),5367580,1.7,4.6,1.7(±4.6)
Total,Poland,2020,410313.0,327700.0,315252.0,317038.0,331030.0,327663.0,329989.39999999997,6343.2,1.96,5560.1,324429.3,335549.49999999994,80323.6,5560.1,24.3,2.0,329989.4 (±5560.1),80323.6 (±5560.1),24.3% (±2.0%),37958138,211.6,14.7,211.6(±14.7)
Total,Portugal,2020,102505.0,84405.0,88933.0,85151.0,87890.0,86587.0,88458.0,1674.8,1.96,1468.0,86990.0,89926.0,14047.0,1468.0,15.9,1.9,88458.0 (±1468.0),14047.0 (±1468.0),15.9% (±1.9%),10295909,136.4,14.3,136.4(±14.3)
Total,Romania,2020,253027.0,214965.0,208821.0,206011.0,212414.0,205978.0,213926.60000000003,3558.1,1.96,3118.8,210807.80000000005,217045.40000000002,39100.4,3118.8,18.3,1.7,213926.6 (±3118.8),39100.4 (±3118.8),18.3% (±1.7%),19328838,202.3,16.1,202.3(±16.1)
Total,Slovakia,2020,50147.0,43709.0,42894.0,42097.0,43451.0,42328.0,43723.000000000015,621.3,1.96,544.6,43178.400000000016,44267.60000000001,6424.0,544.6,14.7,1.4,43723.0 (±544.6),6424.0 (±544.6),14.7% (±1.4%),5457873,117.7,10.0,117.7(±10.0)
Total,Slovenia,2020,20260.0,16261.0,15705.0,15780.0,16439.0,16185.0,16394.800000000003,283.9,1.96,248.8,16146.000000000004,16643.600000000002,3865.2,248.8,23.6,1.9,16394.8 (±248.8),3865.2 (±248.8),23.6% (±1.9%),2095861,184.4,11.9,184.4(±11.9)
Total,Spain,2020,418959.0,333245.0,328706.0,329693.0,331312.0,327996.0,336931.9999999999,1889.7,1.96,1656.4,335275.59999999986,338588.3999999999,82027.0,1656.4,24.3,0.6,336932.0 (±1656.4),82027.0 (±1656.4),24.3% (±0.6%),47332614,173.3,3.5,173.3(±3.5)
Total,Sweden,2020,80720.0,73779.0,71520.0,71330.0,71438.0,69456.0,73035.80000000002,1371.5,1.96,1202.2,71833.60000000002,74238.00000000001,7684.2,1202.2,10.5,1.8,73035.8 (±1202.2),7684.2 (±1202.2),10.5% (±1.8%),10327589,74.4,11.6,74.4(±11.6)
Total,Switzerland,2020,64647.0,54313.0,52694.0,52555.0,53485.0,54495.0,54562.79999999999,799.2,1.96,700.5,53862.29999999999,55263.29999999999,10084.2,700.5,18.5,1.5,54562.8 (±700.5),10084.2 (±700.5),18.5% (±1.5%),8606033,117.2,8.1,117.2(±8.1)
